ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1058,1206,1078-MAP-2024,F2,1592-ConicalxRound-F2,1592,931,1,2519.9067,52.089,3.97,51.12,50.26,41.46,26.1,13,11.06,9.13,8.05,7.95,0.64,106.4334,2.04,64.537,54.0519,7.877699672,20.358338,32.1935,12.3422,10/22/24 9:31,10/22/24 11:17,binary
1059,1206,1079-MAP-2024,F2,1592-ConicalxRound-F2,1592,943,1,1890.2885,35.51,22.37,33.6,34.34,27.56,19.93,14.95,13.14,10.39,7.63,6.89,0.74,103.138,2.9,41.1912,36.9327,16.09081635,4.763641691,17.7866,25.4383,10/22/24 9:31,10/22/24 11:17,binary
1060,1206,1080-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,1503.2707,45.1688,25.47,33.33,34.27,29.45,21.27,13.31,9.75,7.44,5.45,4.61,0.1,86.3552,1.91,29.5224,37.6169,18.04341201,34.28687698,0.1538,27.6992,10/22/24 9:31,10/22/24 11:17,binary
1061,1206,1081-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,1902.8983,41.495,9.14,39.77,40.63,35.91,29.13,22.04,13.65,9.35,6.67,4.73,0.43,86.645,2.09,47.4615,24.0717,15.59281094,7.07034482,12.5732,12.7119,10/22/24 9:31,10/22/24 11:17,binary
1062,1206,1082-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,4366.4019,55.3625,8.38,48.8,52.89,52.14,48.8,44.08,37.09,30.21,22.79,16.34,2.04,116.745,2.11,85.5856,117.6195,25.50167854,25.50167854,0.2658,76.9877,10/22/24 9:31,10/22/24 11:17,binary
1063,1206,1083-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,4735.6933,67.6062,52.37,67.39,62.85,49.3,33.54,20.53,17.14,14.28,12.8,9.84,0.42,148.0142,2.19,45.4014,58.2181,19.65382406,5.102165252,89.1238,3.9737,10/22/24 9:31,10/22/24 11:17,binary
1064,1206,1084-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,6805.7945,71.5784,52.3,70.84,65.4,48.63,36.05,28.19,22.01,16.03,11.32,9.33,0.52,199.0152,2.78,55.7829,85.2064,6.009005957,11.70806477,74.0806,40.4286,10/22/24 9:31,10/22/24 11:17,binary
1065,1206,1085-MAP-2024,F2,1592-ConicalxRound-F2,1592,953,1,4960.9378,63.7792,14.9,58.01,59.58,53.81,44.37,35.14,26.85,21.61,20.46,13.64,1.36,137.419,2.15,71.1959,61.3914,7.05784665,33.50076498,75.3445,1.0124,10/22/24 9:31,10/22/24 11:17,binary
1066,1206,1086-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,2764.3478,53.2174,33.86,47.61,45.49,30.47,19.47,14.28,12.48,11.32,10.05,10.05,0.11,123.5744,2.32,55.6436,29.2266,9.114175055,32.90524292,33.6481,46.532,10/22/24 9:31,10/22/24 11:17,binary
1067,1206,1087-MAP-2024,F2,1592-ConicalxRound-F2,1592,944,1,2682.4143,52.8441,31.98,49.98,50.73,39.82,24.57,15.88,13.98,11.23,8.26,7.1,0.21,111.3009,2.11,76.9785,49.5134,17.81888891,36.20945682,17.4727,33.1958,10/22/24 9:31,10/22/24 11:17,binary
1068,1206,1088-MAP-2024,F2,1592-ConicalxRound-F2,1592,953,1,2713.853,48.9883,15.32,46.68,48.04,38.71,25.6,16.57,11.64,10.28,8.29,7.45,0.21,116.6488,2.38,64.9787,50.5964,0,20.34410126,25.4193,35.642,10/22/24 9:31,10/22/24 11:17,binary
1069,1206,1089-MAP-2024,F2,1592-ConicalxRound-F2,1592,942,1,1427.0385,34.515,19.75,31.75,33.56,30.05,23.36,16.25,10.3,7.86,7.12,6.9,0.42,77.9508,2.26,31.2977,21.9817,17.10272897,14.83993916,16.2297,11.9551,10/22/24 9:31,10/22/24 11:17,binary
1070,1206,1090-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,6728.2433,85.8312,21.06,85.31,74.93,51.46,34.9,24.84,19.28,15.3,13.2,10.69,0.31,181.1992,2.11,60.5275,86.0631,12.22182981,11.62779762,102.3839,2.8666,10/22/24 9:31,10/22/24 11:17,binary
1071,1206,1091-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,3595.2213,63.404,38.25,58.9,63.19,57.33,43.81,27.77,20.23,14.15,10.06,7.76,0.73,109.6208,1.73,97.5404,69.2591,27.51762482,0.686144198,36.7493,1.4388,10/22/24 9:31,10/22/24 11:17,binary
1072,1206,1092-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,5506.5545,64.9612,46.02,61.26,63.8,57.98,49.83,40.31,34.17,30.47,27.19,20,0.32,133.837,2.06,84.8926,91.7207,13.09815079,43.24659514,60.0203,16.6897,10/22/24 9:31,10/22/24 11:17,binary
